,City,Country,Latitude,Longitude,Hotel Name
97,Lingao,CN,19.9103,109.6859,Xiaocheng Zhichun Holiday Inn
98,Lüderitz,,-26.6481,15.1594,Kairos Cottage
99,Yellowknife,CA,62.456,-114.3525,The Explorer Hotel
100,Nicoya,CR,10.1483,-85.45200000000001,Hotel Nicoya
101,Bluff,NZ,-46.6,168.3333,Foveaux Hotel
102,Panabá,MX,21.2833,-88.2667,
103,Tuktoyaktuk,CA,69.4541,-133.0374,Smitty's Bed and Breakfast
104,Okahandja,,-21.9833,16.9167,Okahandja Lodge
105,Longyearbyen,SJ,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
106,East London,ZA,-33.0153,27.9116,Premier Hotels & Resorts
107,Severobaykal'sk,RU,55.65,109.3167,Baykal Yurta
108,Portland,US,45.5234,-122.6762,Ace Hotel Portland
109,Ponta do Sol,PT,32.6667,-17.1,Hotel Da Vila
110,Yaguajay,CU,22.3272,-79.2378,Hostal La Terraza
111,Diffa,NE,13.3154,12.6113,Complexe Hôtelier Du 18 Décembre
112,Mehamn,NO,71.0357,27.8492,Mehamn Arctic Hotel AS
113,Anadyr,RU,64.75,177.4833,Chukotka hotel
114,Thunder Bay,CA,48.4001,-89.3168,Valhalla Inn Hotel
115,Tatarsk,RU,55.218999999999994,75.9828,Gostinitsa Neptun Tatarsk
116,Acará,BR,-1.9608,-48.1967,Hotel Fonseca
117,Vildbjerg,DK,56.2,8.7667,Vestervang Bed & Breakfast
118,Kruisfontein,ZA,-34.0033,24.7314,
119,Bambous Virieux,MU,-20.3428,57.7575,La Hacienda Hotel
120,Lavrentiya,RU,65.5833,-171.0,
121,Alta Floresta,BR,-9.8756,-56.0861,Hotel Mandino
122,Athens,GR,37.9795,23.7162,Herodion Hotel
123,Palmer,US,42.1584,-72.3287,The Trainmaster's Inn
124,Carutapera,BR,-1.195,-46.02,HOTEL R. SOARES
125,Makat,KZ,47.6469,53.3463,Gostinitsa Daulet
126,Poronaysk,RU,49.2167,143.1167,Gostinitsa Sever
127,Pisco,PE,-13.7,-76.2167,Embassy Beach
128,Eenhana,,-17.4667,16.3333,Hotel Litu
129,Sayyan,YE,15.1718,44.3244,
130,Hobart,AU,-42.8794,147.3294,The Henry Jones Art Hotel
131,Hilo,US,19.7297,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
132,Mar del Plata,AR,-38.0023,-57.5575,Sheraton Mar del Plata Hotel
133,Kavieng,PG,-2.5744,150.7967,Nusa Island Retreat
134,Urengoy,RU,65.9667,78.3667,Gostinnitsa Medveditsa
135,Narón,ES,43.5167,-8.1528,Sercotel Hotel Odeón
136,Chongwe,ZM,-15.3292,28.682,Mika Lodge
137,Zhiryatino,RU,53.2228,33.7306,Lukomorye
138,Olinda,BR,-8.0089,-34.8553,Hotel Costeiro Olinda
139,Cherskiy,RU,68.75,161.3,
140,Iskateley,RU,67.6803,53.1512,Hostel Agat
141,Shimoda,JP,34.6667,138.95,Toutei The Japanese-style
142,Jalu,LY,29.0331,21.5482,JALO HOTEL
143,Morro Agudo,BR,-20.7314,-48.0578,Hotel Morro Agudo
144,Mahébourg,MU,-20.4081,57.7,Preskil Island Resort
145,Kaeo,NZ,-35.1,173.7833,
146,Grindavik,IS,63.8424,-22.4338,Mar Guesthouse
147,Verkhnetulomskiy,RU,68.6073,31.7962,Guest House V Verhnetulomskom
148,Hong Kong,HK,22.2855,114.1577,The Harbourview
149,Ribeira Grande,PT,38.5167,-28.7,Quinta Das Buganvílias
150,Lagos,NG,6.5833,3.75,
151,Chernyshevskiy,RU,63.0128,112.4714,
152,Fairbanks,US,64.8378,-147.7164,Best Western Plus Chena River Lodge
153,Marawi,PH,7.9986,124.2928,Marawi Resort Hotel
154,Samarai,PG,-10.6167,150.6667,Nuli Sapi
155,Khatanga,RU,71.9667,102.5,
156,Tayu,ID,-6.5397,111.0518,Hotel Tayu Asri
157,Mīzan Teferī,ET,6.9833,35.5833,Kashinin Hotel Ethiopia
158,Havre-St-Pierre,CA,50.2334,-63.5986,Hotel Du Havre
159,Alice Springs,AU,-23.7,133.8833,DoubleTree by Hilton Hotel Alice Springs
160,Kautokeino,NO,69.0125,23.0412,Thon Hotel Kautokeino
161,Airai,TL,-8.9266,125.4092,
162,Pacific Grove,US,36.6177,-121.9166,Monterey Plaza Hotel & Spa
163,Kumul,CN,42.8,93.45,Haoli Business Hotel
164,Saldanha,ZA,-33.0117,17.9442,Protea Hotel by Marriott Saldanha Bay
165,Ruska Poliana,UA,49.417,31.9201,Vershnyk
166,Prince George,CA,53.9166,-122.75299999999999,Courtyard by Marriott Prince George
167,Salalah,OM,17.0151,54.0924,Salalah Gardens Hotel
168,Lompoc,US,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
169,Paducah,US,37.0834,-88.6001,Holiday Inn Paducah Riverfront
170,Provideniya,RU,64.3833,-173.3,
171,Yilan,TW,24.756999999999998,121.75299999999999,Silks Place Yilan
172,Alta,NO,69.9689,23.2717,Scandic Alta
173,Sokolo,ML,14.7328,-6.1219,
174,The Valley,AI,18.217,-63.0578,The Manoah Boutique Hotel | Shoal Bay - Anguilla
175,Chulym,RU,55.0997,80.9572,"""U Tat'yany"""
176,Faya,SA,18.3851,42.4509,
177,Lagoa,PT,39.05,-27.9833,Hotel Ilha Graciosa
178,Dogondoutchi,NE,13.6393,4.0287,Hôtel Alheri Maison Alheri
179,Stromness,GB,58.965,-3.2960000000000003,The Standing Stones Hotel
180,Asău,RO,46.4333,26.4,Pensiunea Sophia
181,Nikolskoye,RU,59.7035,30.7861,Tourist House - Sablino
182,Bilibino,RU,68.0546,166.4372,Profilaktoriy Baes
183,São José da Coroa Grande,BR,-8.8978,-35.1478,Pousada Barra Velha
184,Fortuna,US,40.5982,-124.1573,Best Western Country Inn
185,São João da Barra,BR,-21.6403,-41.0511,Pousada Kactus
186,Constitución,CL,-35.3333,-72.4167,Bancoarena Hotel
187,Broome,US,42.2506,-75.833,
188,Geraldton,AU,-28.7667,114.6,Ocean Centre Hotel
189,Buchanan,LR,5.8808,-10.0467,Elizabeth Resort
190,Cidreira,BR,-30.1811,-50.2056,Pond Country Club
191,Coyhaique,CL,-45.5752,-72.0662,Nomades Hotel Boutique
192,Yulara,AU,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
193,Jamestown,US,42.097,-79.2353,Chautauqua Harbor Hotel
194,Marabu,MY,4.4148,114.0089,Pullman Miri Waterfront
195,Puerto Colombia,CO,10.9878,-74.9547,Hotel Puerto Colombia
196,Shīeli,KZ,44.1667,66.75,"Гостинница В Шиели ""Айжұлдыз"""
197,Jiblah,YE,13.9216,44.1467,Hilton Ibb Towers Hotel
198,Vardø,NO,70.3705,31.1107,Wilhelmsen eiendom AS
199,Avera,US,33.194,-82.5271,
200,Teknāf,BD,20.8624,92.3058,Milky Resort
201,La Paz Centro,NI,12.34,-86.6753,Quinta Jenny
202,Departamento de Maldonado,UY,-34.6667,-54.9167,
203,Gouré,NE,13.9835,10.2704,
204,Tabuk,PH,17.4189,121.4443,Grand Zion Garden Resort Hotel
205,Maniitsoq,GL,65.4167,-52.9,Hotel Maniitsoq
206,Ancud,CL,-41.8697,-73.8203,Panamericana Hotel Ancud
207,Upernavik,GL,72.7868,-56.1549,Café de Upernavik
208,Hopelchén,MX,19.7667,-89.85,OYO Hotel Los Arcos
209,Quang Ngai,VN,15.1167,108.8,King Hotel Quang Ngai
210,Clevelândia,BR,-26.3958,-52.4708,
211,Mandalgovi,MN,45.7625,106.2708,Mandal Hotel
212,Alyangula,AU,-13.8483,136.4192,Groote Eylandt Lodge
213,Staunton,US,38.1496,-79.0717,Stonewall Jackson Hotel
214,Örnsköldsvik,SE,63.2909,18.7153,Elite Plaza Hotel Örnsköldsvik
215,Dalnerechensk,RU,45.9339,133.7225,"Mini-Hotel ""Arina"""
216,Turinsk,RU,58.0458,63.696000000000005,Gostinitsa
217,Roald,NO,62.5833,6.1333,Vestavind Hytter og Rom AS
218,Chui,UY,-33.6971,-53.4616,Bertelli Chuí Hotel
219,Bengkulu,ID,-3.8004,102.2655,Mercure Bengkulu
220,Bereda,ES,43.2686,-7.5406,Casa Grande de Anllo
221,Husavik,IS,66.0449,-17.3389,Arbol
222,Norman Wells,CA,65.282,-126.8329,Heritage Hotel
223,Conakry,GN,9.538,-13.6773,Hôtel Kaloum
224,Tangshan,CN,39.6333,118.1833,Pullman Tangshan
225,Ardakān,IR,32.31,54.0175,Ardakan Hotel
